DATE TIME,wtable,Raw,NBC_Python
1980-01-01,3.6625,-2.320268154624582,3.8263531836754616
1980-02-01,4.035,-0.1926817127795255,5.377143480554528
1980-03-01,4.554,1.5561945533062884,6.267157792532941
1980-04-01,5.11,3.386031841187374,7.433039692294874
1980-05-01,3.92,2.935466394928235,6.726271896256044
1980-06-01,2.502,2.4621859846067786,5.609468270443917
1980-07-01,2.185,1.3731960922301236,2.9426448609726785
1980-08-01,1.6400000000000001,0.7548688863855348,2.1041593003816934
1980-09-01,1.796,0.2225094378316994,1.4419894658262615
1980-10-01,2.0025,-1.3407395150961827,1.6942406052682333
1980-11-01,2.3674999999999997,-2.2005685178624788,2.986500449826814
1980-12-01,3.194,-2.558370518204806,3.8234107514409192
1981-01-01,3.64,-1.9856780174399784,5.119843221483582
1981-02-01,3.96,-0.15324129235947437,6.908721284138131
1981-03-01,4.502000000000001,1.0339731246767698,7.033388099934904
1981-04-01,4.415,3.016623966440899,7.401075653809071
1981-05-01,2.9725,3.108255982902013,7.927490488873943
1981-06-01,2.592,2.125375785432323,5.071008765485216
1981-07-01,1.7525,1.3216876922384007,2.5603415592133376
1981-08-01,1.588,0.6813544821000384,1.7742083280814596
1981-09-01,1.3825,0.015627070096813078,0.6664596878212445
1981-10-01,1.875,-2.0213140689518587,0.04537121157358059
1981-11-01,2.558,-2.906859823118439,0.4580092512692945
1981-12-01,2.9425,-3.2228779596730126,0.5316420615784988
1982-01-01,3.2475,-2.4327050536310573,1.1602456945742796
1982-02-01,3.7225,-0.4420406002121444,2.3360997735013385
1982-03-01,4.276,1.1350708714470032,3.584620436715004
1982-04-01,4.8575,2.665664588333051,3.925003033069252
1982-05-01,5.037999999999999,3.034695727266816,4.988545912049992
1982-06-01,3.8825,2.501130546100424,4.981816329912139
1982-07-01,2.7024999999999997,1.8138414757490935,4.507333787989201
1982-08-01,1.996,1.272135895566449,4.474487665059152
1982-09-01,1.8725,0.5059345360684309,3.034169747869081
1982-10-01,2.21,-1.5688191251926122,2.270912040727921
1982-11-01,2.6879999999999997,-2.6987091488366985,2.6184307072057598
1982-12-01,3.1625,-2.3613788304120744,3.870285469599105
1983-01-01,3.714,-2.305034281375409,3.887715488797555
1983-02-01,4.0525,-0.7851941204846211,4.480354598231493
1983-03-01,4.6575,1.1442502875631684,5.158335519046423
1983-04-01,5.234999999999999,2.8874447966506507,5.444877372043859
1983-05-01,4.26,2.986065454501359,5.692700882374615
1983-06-01,3.995,2.1579392632641325,3.7010977334667934
1983-07-01,3.6,1.5926029120375569,2.9384367992616
1983-08-01,2.445,0.4348266644269403,0.742129861287033
1983-09-01,1.47,0.2925799440391943,1.2481333400179315
1983-10-01,1.5379999999999998,-1.0758055722484352,1.9493045460463327
1983-11-01,2.105,-2.834577273437409,2.061241149703033
1983-12-01,2.675,-2.4640095108854716,3.0951458124958284
1984-01-01,2.898,-2.160440015347339,3.7459604696749493
1984-02-01,3.3025,-0.7776679944561193,4.377567127853759
1984-03-01,4.0475,0.2420169774902945,4.2441205932218145
1984-04-01,5.136,2.89926681822286,4.862567997255641
1984-05-01,3.8325,2.90502614015693,4.888096396627835
1984-06-01,2.1425,1.879363282670034,1.9667393467549363
1984-07-01,1.65,1.2648921341835941,0.8762643034123054
1984-08-01,1.7,0.4157260324042751,0.12652741598936054
1984-09-01,1.455,-0.020327558774938304,0.05751433181273019
1984-10-01,1.6219999999999999,-0.7558686873445426,1.7371144494480324
1984-11-01,2.2525,-2.580108925072534,2.2907235465033042
1984-12-01,2.8120000000000003,-2.838330892382978,2.6071586265407216
1985-01-01,3.235,-2.2663951432055,2.5864482541969775
1985-02-01,3.8325,-0.525168080955603,3.386415839400951
1985-03-01,4.705,1.066381405496048,3.908711655011285
1985-04-01,5.636,3.2191205152360274,4.772579273544701
1985-05-01,4.6925,2.652698338634158,3.574762066078652
1985-06-01,2.6275,2.693120034217912,3.876559136033934
1985-07-01,1.264,1.6156235944594108,2.782119001760325
1985-08-01,0.5125,0.43036082910466744,0.7138859107763112
1985-09-01,0.692,-0.12430800397697572,0.007123901160577055
1985-10-01,0.8475000000000001,-1.097700599234087,0.9376623497564367
1985-11-01,1.17,-2.309880593621674,1.8341240210928589
1985-12-01,2.05,-2.323970199141841,2.947454595672465
1986-01-01,2.515,-2.4055001237236944,2.986223272014241
1986-02-01,2.8800000000000003,-0.8012659692498323,3.428435252009577
1986-03-01,3.9620000000000006,1.0291472144378737,3.9192054696215766
1986-04-01,4.4475,2.782788023188802,4.035644915317306
1986-05-01,3.5324999999999998,2.924483383618875,4.160955319287493
1986-06-01,3.228,2.221914752767621,2.884514332995036
1986-07-01,1.8250000000000002,2.0265231510250987,3.6570889056245965
1986-08-01,1.675,0.8188968288681977,1.995221005141542
1986-09-01,1.4,0.5235820279034882,1.9523937760400798
1986-10-01,1.745,-1.4737038704746022,1.6307412762599591
1986-11-01,1.4325,-2.3131179675702853,2.384239971405479
1986-12-01,2.044,-2.4897856569480092,3.0409383937387093
1987-01-01,2.49,-2.492872740143696,3.3071490351757094
1987-02-01,2.9525,-0.1078045372242129,4.637761990609088
1987-03-01,4.27,1.2473643644158692,5.021083588396905
1987-04-01,4.246666666666667,2.448887267896427,4.359560589930006
1987-05-01,3.61,2.669521597110969,3.8416432940890086
1987-06-01,3.166,2.8796880801683398,4.829436735050409
1987-07-01,0.9725,1.448533107603153,2.68796887224739
1987-08-01,0.398,0.8810337652827687,2.1730850466594047
1987-09-01,0.52,0.3821984961502034,1.7193877146307612
